name,value,unit,n,note
response_ms_tool_median,11482.2,ms,16,"user finished to first sample heard, turns that called a tool"
response_ms_tool_p90,12732.6,ms,16,""
response_ms_no_tool_median,9682.2,ms,3,"same, turns answered from the standing context alone"
response_ms_no_tool_p90,11032.1,ms,3,""
advance_ms_median,,ms,0,"spoken advance to the next step beginning"
tool_silence_ms_max,13932.619000000006,ms,16,"longest gap before anything was heard on a tool turn"
status_dropped_pct,100.0,%,17,"statuses dropped because the answer was ready first"
interrupt_stop_ms_median,3.0,ms,1,"user speech onset to audio stopping, measured at the listener"
steps_presented,9,count,9,"steps handed to the model to say"
replies_heard_pct,90.9,%,22,"model replies that finished without being cut"
provider_failures,5,count,5,"with no pedal there is no fallback path, so this is reported"
