name,value,unit,n,note
response_ms_tool_median,5406.7,ms,16,"user finished to first sample heard, turns that called a tool"
response_ms_tool_p90,7181.3,ms,16,""
response_ms_no_tool_median,3885.5,ms,5,"same, turns answered from the standing context alone"
response_ms_no_tool_p90,5130.8,ms,5,""
advance_ms_median,,ms,0,"spoken advance to the next step beginning"
tool_silence_ms_max,7280.459999999992,ms,16,"longest gap before anything was heard on a tool turn"
status_dropped_pct,100.0,%,16,"statuses dropped because the answer was ready first"
interrupt_stop_ms_median,2.9,ms,2,"user speech onset to audio stopping, measured at the listener"
steps_presented,10,count,10,"steps handed to the model to say"
replies_heard_pct,91.7,%,24,"model replies that finished without being cut"
provider_failures,2,count,2,"with no pedal there is no fallback path, so this is reported"
